,12,,
,20,,
,〜,,菊川町
,37,,
樫見町,,,犀川
春日町,,,森山町
かたつ,,,浅野川
片町１丁目,1,1〜 7,新竪町
,,8〜30,長町ナガマチ
,,31〜35,新竪町
,2,,
,〜,,長町ナガマチ
,12,,
片町２丁目,,,長町ナガマチ
堅田町,,,不動寺
桂町,,,木曳野
金市町,,,千坂
金石北1丁目,,,金石町
金石北2丁目,,,金石町
金石北3丁目,14,21〜38,大野町
,,上記以外,金石町
金石北4丁目,,,金石町
金石西1丁目,,,金石町
金石西2丁目,,,金石町
金石西3丁目,,,金石町
金石西4丁目,,,金石町
金石東1丁目,,,金石町
金石東2丁目,,,金石町
金石東3丁目,,,金石町
金石本町,,,金石町
金石相生町,,,金石町
金川町,,,東浅川
上荒屋1丁目,,,三和
上荒屋2丁目,,,三和
上荒屋3丁目,,,三和
上荒屋4丁目,,,三和
上荒屋5丁目,,,三和
上荒屋6丁目,,,三和
上荒屋7丁目,,,三和
上荒屋8丁目,,,三和
上近江町,,,松ケ枝マツガエ
上柿木畠,,,新竪町
上辰己町,,,犀川
上ウエ堤ツツミ町マチ,,,松ケ枝マツガエ
上中町,,,東浅川
神田町,,,新神田
神野町,,,緑
神野カンノ１丁目チョウメ,,,緑
神野カンノ２丁目チョウメ,,,緑
神野カンノ３丁目チョウメ,,,緑
上安原町,,,安原
上カミ安原１丁目チョウメ,,,安原
上カミ安原２丁目チョウメ,,,安原
上安原南,,,三和
神谷内町,,別記以外,小坂
,,1〜125,千坂
上涌波町,,,不動寺
川岸町,,,新竪町
河原市町,,,不動寺
神田１丁目,,,中村町
神田２丁目,,,中村町
観音町3丁目,,,材木町
観音堂町,,,木曳野
上原町,,,湯涌
観法寺町,,,森本
上若松町ワカマツマチ,,,田上
菊川１丁目,,,菊川町
菊川２丁目,1,1,新竪町
,,2〜 6,菊川町
,,7〜19,新竪町
,2,,
,〜,,菊川町
,12,,
,13,1〜 8,新竪町
,,9〜21,菊川町
,,22,新竪町
,14,,新竪町
,15,,新竪町
,16,1〜 9,菊川町
,,10〜19,新竪町
,,20〜25,菊川町
,17,,
,〜,,菊川町
,32,,
菊水町,,,内川
木キ倉クラ町マチ,,,長町ナガマチ
木越町,,,大浦
木越１丁目,,,大浦
木越２丁目,,,大浦
木越３丁目,,,大浦
岸川町,,,花園
北町,,,戸板
北方町,,,牧山マキヤマ
北千石町,,,上平ウワダイラ
北塚町,,,緑
北寺町,,,諸江町
北袋町,,,湯涌
北間町,,,浅野川
北森本町,,,森本
北安江町,,,諸江町
北安江1丁目,,,諸江町
北安江2丁目,,,諸江町
北安江3丁目,,,諸江町
北安江4丁目,1,1〜 6,西
,,7〜25,諸江町
,,26〜29,西
,2,,西
,3,,
,〜,,諸江町
,17,,
,18,1,諸江町
,,2〜 5,西
,,6〜35,諸江町
,19,1〜 2,西
,,3〜29,諸江町
,,30,西
,20,,諸江町
,21,1〜 9,西
,,10〜23,諸江町
,,24〜28,西
,22,1〜19,西
,,20〜22,諸江町
,,23〜26,西
,23,,
,〜,,西
,28,,
木ﾉ新保7番丁,,,此花コノハナ
京町,,,浅野町
清川町,1,,
,〜,,新竪町
,5,,
,6,1〜13,新竪町
,,14,泉野
,,15〜27,新竪町
,7,,
,〜,,菊川町
,9,,
,10,1〜22,菊川町
,,23〜30,十一屋
,,31〜46,菊川町
清瀬町,,,清瀬キヨセ
桐山町,,,三谷
国見町,,,犀川
窪町,,,富樫
窪１丁目,,,富樫
窪２丁目,,,富樫
窪３丁目,,,伏見台
窪４丁目,,,伏見台
窪５丁目,,,伏見台
窪６丁目,,別記以外,富樫
,,219〜294,伏見台
窪７丁目,,,伏見台
熊走町,,,駒帰コマガエリ
倉ヶ嶽,,,倉ヶ嶽
倉谷町,,,駒帰コマガエリ
鞍クラ月ツキ１丁目チョウメ,,,鞍月
鞍クラ月ツキ２丁目チョウメ,,,鞍月
鞍クラ月ツキ３丁目チョウメ,,,鞍月
鞍クラ月ツキ４丁目チョウメ,,,鞍月
鞍クラ月ツキ５丁目チョウメ,,,鞍月
鞍クラ月ツキ東ヒガシ１丁目チョウメ,,,鞍月
鞍クラ月ツキ東ヒガシ２丁目チョウメ,,,鞍月
車町,,,牧山マキヤマ
黒田１丁目,,,米丸
黒田２丁目,,,米丸
見定町,,,駒帰コマガエリ
兼六町,1,1〜 6,小立野
,,7〜,味噌蔵町
,2,,味噌蔵町
兼六元町,,,味噌蔵町
香林坊1丁目,1,,長町ナガマチ
,2,,長町ナガマチ
,3,,松ケ枝マツガエ
香林坊2丁目,1,,
,〜,,長町ナガマチ
,3,,
,4,1〜16,長町ナガマチ
,,17〜21,松ケ枝マツガエ
,,22〜36,長町ナガマチ
,5,1〜10,松ケ枝マツガエ
,,11〜17,長町ナガマチ
,,18〜43,松ケ枝マツガエ
,6,,
,〜,,松ケ枝マツガエ
,8,,
,9,,長町ナガマチ
,10,1〜21,長町ナガマチ
,,22〜27,松ケ枝マツガエ
,,28〜31,長町ナガマチ
,11,,
,〜,,長町ナガマチ
,14,,
小金町,,,森山町
古郷町,,,湯涌
小坂町,,,小坂
小将町,,,味噌蔵町
小立野1丁目,,,小立野
小立野2丁目,,,小立野
小立野3丁目,,別記以外,小立野
,7,29〜44,南小立野
小立野4丁目,,,小立野
小立野5丁目,,,小立野
琴町,,,上平ウワダイラ
琴坂町,,,上平ウワダイラ
湖南第2区画整理地,,,大浦
小野町,,,不動寺
此花町,1,,
,〜,,此花コノハナ
,10,,
,11,1〜18,此花コノハナ
,,19〜25,瓢箪ヒョウタン
,,26〜31,此花コノハナ
小橋町,1,1〜11,浅野町
,,12〜,馬場
,2,1、 2,馬場
,,3〜41,浅野町
,,42〜,馬場
,3,1〜 3,馬場
,,4〜 6,浅野町
,,7〜,馬場
,4,,馬場
,5,1〜18,浅野町
,,19〜,馬場
,6,1〜 9,馬場
,,10〜16,浅野町
,,17,森山町
,,18〜22,浅野町
,,23〜29,森山町
,,30〜36,馬場
,7,1〜 6,森山町
,,7〜16,浅野町
,,17〜19,森山町
,8,,
,〜,,浅野町
,18,,
小菱池町,,,湯涌
小二又町,,,夕日寺
古府１丁目,,,西南部
古府２丁目,,,緑
古府３丁目,,,緑
古府西1丁目,,,緑
古府町,,別記以外,緑
,,南,西南部
駒帰町,,,駒帰コマガエリ
湖陽１丁目,,,森本
湖陽２丁目,,,森本
湖南町,,,森本
小嶺町,,,牧山マキヤマ
子来町,,,馬場
御供田町,,,鞍月
御所町,,,小坂
御所町1丁目,,,夕日寺
御所町2丁目,,,夕日寺
五郎島町,,,粟崎
才田町,,,森　本
西念町,,,戸   板
西念１丁目,1,,
,〜,,長田町
,3,,
,4,1〜 9,長田町
,,10〜18,西
,,19〜,長田町
,5,,
,〜,,長田町
,11,,
,12,1〜10,長田町
,,11〜27,諸江町
,,28〜32,長田町
,13,,諸江町
,14,1〜14,長田町
,,15〜20,諸江町
,,21〜,長田町
,15,1〜 8,長田町
,,9〜11,西
,,12、13,長田町
,,14〜17,西
,,18〜27,長田町
,16,1〜11,諸江町
,,12〜15,西
,,16〜36,諸江町
,17,,西
西念２丁目,1,,
,〜,,西
,17,,
,18,1〜 2,長田町
,,3〜 6,西
,,7〜12,長田町
,19,,
,〜,,西
,37,,
西念３丁目,,,西
西念４丁目,1,,戸   板
,2,,
,〜,,西
,6,,
,7,,戸   板
,8,,
,〜,,西
,22,,
,23,1〜15,戸   板
,,16〜34,西
,,35〜40,戸   板
,24,,西
,25,,
,〜,,戸   板
,28,,
幸町,1,,
,〜,,新竪町
,7,,
,8,1〜17,新竪町
,,18〜31,菊川町
,,32、33,新竪町
,9,1〜14,菊川町
,,15〜27,新竪町
,,28〜31,菊川町
,10,1〜 7,新竪町
,,8〜13,菊川町
,,14〜28,新竪町
,11,,
,〜,,新竪町
,17,,
,18,1〜 7,新竪町
,,8,菊川町
,,9〜16,新竪町
,19,1〜10,新竪町
,,11〜15,菊川町
,,16〜20,新竪町
,20,,
,〜,,新竪町
,29,,
,30,1〜 4,菊川町
,,5〜19,新竪町
,,20,菊川町
佐寄森町,,,緑
桜町,1,,
,〜,,材木町
,23,,
,24,,味噌蔵町
桜田町,,,戸板
桜田町1丁目,,,戸板
桜田町2丁目,,,戸板
桜田町3丁目,,,戸板
里見町,,,新竪町
醒ヶ井町,,,長田町
三社町,1,1〜10,長土塀ナガドヘイ
,,11〜27,芳斉ホウサイ
,,28〜,長土塀ナガドヘイ
,2,,長土塀ナガドヘイ
,3,,
,〜,,芳斉ホウサイ
,8,,
,9,1〜7,芳斉ホウサイ
,,8〜9,長土塀ナガドヘイ
,,10〜27,芳斉ホウサイ
,10,1、2,芳斉ホウサイ
,,3〜15,長土塀ナガドヘイ
,,16〜24,芳斉ホウサイ
,11,1〜11,芳斉ホウサイ
,,12〜55,長土塀ナガドヘイ
,,56〜64,芳斉ホウサイ
三十刈町,,乙、,┓
,,丁42〜99,┣ 額
,,戊1〜26,┛
,,別記以外,四十万
山王町1丁目,,,夕日寺
山王町2丁目,,,夕日寺
材木町,1,1〜17,材木町
,,18,味噌蔵町
,,19〜,材木町
,2,,
,〜,,材木町
,29,,
四王寺町,,,不動寺
四十万町,,,四十万
四十万3丁目,,,四十万
四十万4丁目,,,四十万
四十万5丁目,,,四十万
四十万6丁目,,,四十万
しじま台1丁目,,,四十万
しじま台2丁目,,1〜 8,┓
,,16〜18,┃
,,44〜62,┃
,,74〜77,┣ 額
,,《都市計画道路,┃
,,四十万･,┃
,,粟田線以北》,┛
,,9〜15,┓
,,19〜43,┣四十万
,,63〜73,┛
芝原町,,,湯涌
四坊町,,,花園
四坊高坂町,,,花園
島田町,,,芳斉ホウサイ
清水町,,,医王山
清水谷町,,,竹又タケマタ
示野町,,,戸板
示野中町,,,戸板
示野中町1丁目,,,戸板
示野中町2丁目,,,戸板
下石引町,,,小立野
下近江町,,,松ケ枝マツガエ
下鴛原町,,,犀川
下柿木畠,,,長町ナガマチ
下新シン町,4,,材木町
,,上記ジョウキ以外イガイ,味噌蔵町
下谷町,,,湯涌
下堤町,,,松ケ枝マツガエ
下本多町5番丁,,,新竪町
